ID_Edificacion,Nombre_Patrimonio,Ciudad,Departamento,Edad_Estructura_Anios,Material_Principal,Precipitacion_Anual_mm,Humedad_Prom_Anual_pct,PM10_Promedio_ugm3,Distancia_Via_Principal_m,Nivel_Deterioro_Actual
BIC-0001,Edificacion_Patrimonial_1,Cali,Valle del Cauca,189,Piedra_Ladrillo,1466.2,76.2,60.2,17.0,Medio
BIC-0002,Edificacion_Patrimonial_2,Villa de Leyva,Boyacá,172,Piedra_Coralina,1001.1,62.1,12.7,20.3,Medio
BIC-0003,Edificacion_Patrimonial_3,Medellín,Antioquia,169,Piedra_Ladrillo,1458.7,59.4,54.4,94.6,Bajo
BIC-0004,Edificacion_Patrimonial_4,Barichara,Santander,115,Piedra_Ladrillo,1025.8,58.5,-6.4,153.8,Bajo
BIC-0005,Edificacion_Patrimonial_5,Popayán,Cauca,155,Mamposteria,1957.5,75.3,26.1,93.5,Bajo
BIC-0006,Edificacion_Patrimonial_6,Popayán,Cauca,101,Piedra_Concreto,2194.7,79.5,18.6,58.0,Bajo
BIC-0007,Edificacion_Patrimonial_7,Barichara,Santander,148,Adobe_Tapia,994.2,66.1,2.8,37.4,Bajo
BIC-0008,Edificacion_Patrimonial_8,Santa Marta,Magdalena,372,Piedra_Coralina,1099.4,81.1,38.8,254.9,Medio
BIC-0009,Edificacion_Patrimonial_9,Villa de Leyva,Boyacá,140,Piedra_Concreto,869.9,57.6,10.8,176.5,Bajo
BIC-0010,Edificacion_Patrimonial_10,Medellín,Antioquia,50,Piedra_Concreto,1561.9,62.3,61.3,162.0,Bajo
BIC-0011,Edificacion_Patrimonial_11,Mompox,Bolívar,95,Mamposteria,1261.2,89.2,24.3,147.5,Bajo
BIC-0012,Edificacion_Patrimonial_12,Medellín,Antioquia,133,Ladrillo,1587.7,60.5,71.0,6.6,Medio
BIC-0013,Edificacion_Patrimonial_13,Villa de Leyva,Boyacá,61,Ladrillo,780.4,69.1,31.6,218.2,Bajo
BIC-0014,Edificacion_Patrimonial_14,Santa Marta,Magdalena,66,Adobe_Tapia,972.4,84.9,38.0,82.4,Medio
BIC-0015,Edificacion_Patrimonial_15,Cartagena,Bolívar,147,Piedra_Concreto,1206.5,68.9,43.2,2.6,Medio
BIC-0016,Edificacion_Patrimonial_16,Cali,Valle del Cauca,50,Piedra_Coralina,1584.2,77.5,45.2,28.7,Medio
BIC-0017,Edificacion_Patrimonial_17,Santa Marta,Magdalena,268,Piedra_Coralina,928.2,76.0,25.0,265.5,Medio
BIC-0018,Edificacion_Patrimonial_18,Cali,Valle del Cauca,190,Ladrillo,1595.8,74.3,48.1,20.6,Medio
BIC-0019,Edificacion_Patrimonial_19,Medellín,Antioquia,157,Ladrillo,1746.9,64.5,56.7,25.9,Medio
BIC-0020,Edificacion_Patrimonial_20,Villa de Leyva,Boyacá,251,Piedra_Concreto,870.8,51.7,21.5,25.1,Medio
BIC-0021,Edificacion_Patrimonial_21,Santa Marta,Magdalena,122,Mamposteria,899.8,79.2,34.0,73.1,Bajo
BIC-0022,Edificacion_Patrimonial_22,Popayán,Cauca,74,Piedra_Ladrillo,2240.4,77.9,8.3,35.8,Bajo
BIC-0023,Edificacion_Patrimonial_23,Cali,Valle del Cauca,154,Adobe_Tapia,1726.3,72.0,48.0,15.7,Medio
BIC-0024,Edificacion_Patrimonial_24,Mompox,Bolívar,177,Piedra_Concreto,1199.3,87.8,3.5,143.4,Bajo
BIC-0025,Edificacion_Patrimonial_25,Mompox,Bolívar,213,Piedra_Ladrillo,1109.1,91.0,1.0,100.4,Bajo
BIC-0026,Edificacion_Patrimonial_26,Tunja,Boyacá,79,Piedra_Concreto,657.7,62.5,29.2,20.6,Medio
BIC-0027,Edificacion_Patrimonial_27,Barichara,Santander,157,Piedra_Ladrillo,1049.7,54.2,15.7,103.6,Bajo
BIC-0028,Edificacion_Patrimonial_28,Santa Marta,Magdalena,192,Piedra_Coralina,888.5,83.1,28.4,14.8,Medio
BIC-0029,Edificacion_Patrimonial_29,Bogotá,Cundinamarca,87,Piedra_Coralina,807.8,79.1,42.7,169.9,Medio
BIC-0030,Edificacion_Patrimonial_30,Mompox,Bolívar,259,Piedra_Ladrillo,1453.9,82.4,12.9,227.5,Bajo
BIC-0031,Edificacion_Patrimonial_31,Mompox,Bolívar,170,Piedra_Ladrillo,1278.2,77.8,1.8,129.4,Bajo
BIC-0032,Edificacion_Patrimonial_32,Popayán,Cauca,199,Piedra_Concreto,2221.7,79.1,33.5,2.0,Medio
BIC-0033,Edificacion_Patrimonial_33,Popayán,Cauca,173,Piedra_Coralina,2028.6,87.3,29.7,105.5,Medio
BIC-0034,Edificacion_Patrimonial_34,Tunja,Boyacá,208,Piedra_Ladrillo,554.6,61.2,8.7,137.2,Bajo
BIC-0035,Edificacion_Patrimonial_35,Medellín,Antioquia,227,Piedra_Coralina,1691.3,72.1,79.0,9.8,Medio
BIC-0036,Edificacion_Patrimonial_36,Bogotá,Cundinamarca,50,Piedra_Coralina,762.8,79.4,52.6,99.7,Medio
BIC-0037,Edificacion_Patrimonial_37,Villa de Leyva,Boyacá,151,Piedra_Ladrillo,1045.4,63.7,45.2,21.7,Medio
BIC-0038,Edificacion_Patrimonial_38,Villa de Leyva,Boyacá,72,Ladrillo,997.7,65.2,16.6,19.5,Bajo
BIC-0039,Edificacion_Patrimonial_39,Santa Marta,Magdalena,132,Piedra_Ladrillo,1051.4,82.4,29.3,331.4,Bajo
BIC-0040,Edificacion_Patrimonial_40,Tunja,Boyacá,113,Mamposteria,727.7,70.2,16.6,38.1,Bajo
BIC-0041,Edificacion_Patrimonial_41,Mompox,Bolívar,167,Piedra_Concreto,1075.4,84.9,18.9,84.4,Bajo
